Date,Ticker,Shares,Price,Type
07-02-2024,NVDY,6.0,29.31,Buy
07-02-2024,YMAG,0.93,20.03,Buy
07-02-2024,YMAG,4.76,21.01,Buy
07-02-2024,CONY,15.09,20.91,Buy
07-02-2024,CONY,1.15,20.92,Buy
07-05-2024,MSTY,9.0,24.08,Buy
07-05-2024,YMAG,0.83,21.57,Buy
07-05-2024,NVDY,6.0,27.7,Buy
07-08-2024,NVDY,0.52,27.96,Drip
07-08-2024,CONY,1.34,19.03,Drip
07-10-2024,YMAG,2.93,21.89,Buy
07-10-2024,MSTY,4.0,25.17,Buy
07-18-2024,YMAG,0.26,20.13,Drip
07-22-2024,AMZY,16.0,20.66,Buy
07-25-2024,NVDY,3.0,25.68,Buy
07-25-2024,QDTE,2.0,42.71,Buy